male.ID,ng.g,age.sample,mrank_birth,unit.size.cont,pat.sibs.sample,cum.rain,min.Temp,max.Temp,year,sample.date,month.sample,year.sample,mrank_prop
JOK,554.74,6.2,0.5,2,0,25.4,7.12,15.67,2016,1/15/16,1,2016,1
JOK,569.42,6.2,0.5,2,0,0,7.19,16.07,2016,2/2/16,2,2016,1
CLY,497.86,5.9,0.333333333,2,1,0,7.18,16.12,2016,2/3/16,2,2016,0.8
JOK,222.86,6.3,0.5,2,0,0,9.01,18.75,2016,3/1/16,3,2016,1
DAL,529.52,6.8,0.25,4,1,0,9.01,18.75,2016,3/1/16,3,2016,0.666666667
CLY,528.33,6,0.333333333,2,2,0,9.16,19.02,2016,3/2/16,3,2016,0.8
JOK,330.76,6.4,0.5,2,0,64.4,10.89,22.22,2016,4/2/16,4,2016,1
CLY,609.66,6.1,0.333333333,2,2,64.4,10.79,22.21,2016,4/4/16,4,2016,0.8
XAV,705.7,7.3,NA,7,1,9.5,11.09,23.01,2016,4/21/16,4,2016,0
JOK,661.45,6.5,0.5,2,0,53.4,10.81,22.41,2016,5/4/16,5,2016,1
DAL,620.96,7,0.25,4,1,183.6,10.52,21.42,2016,5/9/16,5,2016,0.333333333
MOJ,346.05,7.3,0,3,1,183.6,10.52,21.42,2016,5/9/16,5,2016,0.5
CLY,461.75,6.2,0.333333333,2,2,191.9,10.44,21.16,2016,5/10/16,5,2016,0.8
ORE,487.27,8.4,0,8,0,230.1,10.11,19.72,2016,5/20/16,5,2016,0
DAL,529.61,7.1,0.25,4,1,247.9,9.87,18.95,2016,6/2/16,6,2016,0.333333333
JOK,649.25,6.5,0.5,2,0,230.4,10.03,19.19,2016,6/4/16,6,2016,1
CLY,534,6.3,0.333333333,2,2,150.9,10.41,19.37,2016,6/14/16,6,2016,0.8
CLY,404.67,6.3,0.333333333,2,2,430.2,8.95,15.67,2016,7/4/16,7,2016,0.75
JOK,207.82,6.6,0.5,2,0,430.2,8.95,15.67,2016,7/4/16,7,2016,1
DAL,580.9,7.2,0.25,4,1,465.4,8.48,14.81,2016,7/11/16,7,2016,0.333333333
ORE,1169.3,8.6,0,8,0,475.3,8.28,14.48,2016,7/13/16,7,2016,0
JOK,837.18,7.1,0.5,2,0,NA,NA,NA,2016,12/12/16,12,2016,1
CLY,628.71,6.8,0.333333333,2,2,NA,NA,NA,2016,12/14/16,12,2016,0.75
JAC,351.12,5.7,NA,5,2,274.5,9.54,18.64,2017,6/19/17,6,2017,0.25
TOA,698.93,5.5,0.833333333,7,3,278.3,9.48,18.3,2017,6/22/17,6,2017,0.857142857
VIM,288.34,5.4,0.166666667,7,4,278.3,9.48,18.3,2017,6/22/17,6,2017,0.285714286
OMA,830.19,7.2,0.375,8,1,290.3,9.23,17.79,2017,6/28/17,6,2017,0.285714286
MIA,497.16,6.8,0.888888889,8,1,303.6,9.82,17.65,2017,7/5/17,7,2017,0.75
OMA,563.61,7.2,0.375,8,1,303.6,9.82,17.65,2017,7/5/17,7,2017,0.285714286
CAE,579.05,4.5,1,3,0,347.6,9.38,15.53,2017,7/17/17,7,2017,1
OMA,437.02,7.3,0.375,8,1,381.4,9.28,14.83,2017,7/24/17,7,2017,0.285714286
VAI,477.84,4,0.666666667,6,3,381.4,9.28,14.83,2017,7/24/17,7,2017,0.6
GIZ,440,5.4,0.5,7,4,381.4,9.28,14.83,2017,7/24/17,7,2017,0.2
JOK,951.03,7.7,0.5,2,0,381.4,9.28,14.83,2017,7/24/17,7,2017,1
JAR,568.84,5.2,0,2,0,466.3,9.4,14.3,2017,7/27/17,7,2017,0
ISA,923.4,7.1,0.5,3,2,528.7,8.69,13.88,2017,8/8/17,8,2017,1
JAR,601.66,5.2,0,2,0,528.7,8.69,13.88,2017,8/8/17,8,2017,0
VIM,1769.49,5.6,0.166666667,6,4,530.2,8.72,13.91,2017,8/9/17,8,2017,0.285714286
DIL,586.29,6.8,0,4,1,530.2,8.72,13.91,2017,8/9/17,8,2017,0.166666667
JAC,716.27,5.8,NA,5,2,559.7,8.61,13.76,2017,8/15/17,8,2017,0.25
FLY,2136.86,5.7,NA,5,2,559.7,8.61,13.76,2017,8/15/17,8,2017,1
NEP,437.14,5.4,NA,5,2,559.7,8.61,13.76,2017,8/15/17,8,2017,0.5
GIZ,556.5,5.5,0.5,7,4,450.6,8.48,13.86,2017,8/25/17,8,2017,0.4
VLA,558.13,5.2,0.333333333,7,4,450.6,8.48,13.86,2017,8/25/17,8,2017,0.2
GAV,776.68,6.9,0.666666667,4,1,490.7,8.37,13.76,2017,8/31/17,8,2017,0.25
PIP,715.92,6.8,0.666666667,5,1,490.7,8.37,13.76,2017,8/31/17,8,2017,1
MIA,480.65,7,0.888888889,8,1,438.3,8.29,13.88,2017,9/6/17,9,2017,0.75
MYC,474.8,4.9,0.285714286,8,0,438.3,8.29,13.88,2017,9/6/17,9,2017,0.142857143
DIL,333.91,6.9,0,4,1,374.5,8.34,13.93,2017,9/7/17,9,2017,0.166666667
ISA,505.79,7.2,0.5,3,2,368,8.33,13.9,2017,9/8/17,9,2017,1
CAE,388.92,4.6,1,3,0,368,8.33,13.9,2017,9/8/17,9,2017,1
DRO,403.68,4.3,0.333333333,7,0,375.8,8.32,13.93,2017,9/9/17,9,2017,0.166666667
JAR,388.33,5.3,0,2,0,375.8,8.32,13.93,2017,9/9/17,9,2017,0
CRI,251.8,4,0,5,0,387.3,8.32,14.02,2017,9/10/17,9,2017,0.75
TOA,362.18,5.7,0.833333333,7,3,336.5,8.4,14.45,2017,9/14/17,9,2017,0.857142857
VLA,276.24,5.3,0.333333333,7,4,319.4,8.37,14.48,2017,9/19/17,9,2017,0.2
VAI,350.4,4.2,0.666666667,6,3,319.4,8.37,14.48,2017,9/19/17,9,2017,1
CUE,375.31,7,1,5,2,319.4,8.37,14.48,2017,9/19/17,9,2017,0
OMA,203.08,7.4,0.375,8,0,187.9,8.49,15.05,2017,9/25/17,9,2017,0.285714286
GIZ,226.96,5.6,0.5,7,4,129.6,8.45,15.42,2017,10/2/17,10,2017,0.4
TOA,152,5.8,0.833333333,7,3,115.1,8.46,15.47,2017,10/3/17,10,2017,0.857142857
DOP,274.8,6,1,7,1,124.5,8.46,15.52,2017,10/4/17,10,2017,1
CAE,262.71,4.7,1,3,0,124.5,8.46,15.52,2017,10/4/17,10,2017,1
OMA,202.39,7.5,0.375,8,0,125,8.49,15.5,2017,10/5/17,10,2017,0.285714286
NEP,66.25,5.5,NA,5,2,130.3,8.47,15.67,2017,10/6/17,10,2017,0.5
GIA,88,4.1,0.75,4,1,130.3,8.47,15.67,2017,10/6/17,10,2017,1
GIB,63.53,4.3,1,4,1,147.1,8.47,15.67,2017,10/7/17,10,2017,0.666666667
JAC,233.9,6,NA,5,2,147.1,8.47,15.67,2017,10/7/17,10,2017,0.25
TDO,313.88,4.2,0.5,10,4,100.2,8.38,15.99,2017,10/11/17,10,2017,0.25
VIM,265.18,5.7,0.166666667,6,4,99.5,8.34,15.94,2017,10/12/17,10,2017,0.285714286
JAR,288,5.4,0,2,0,229.3,8.26,16.09,2017,10/19/17,10,2017,0
DIL,327.32,7,0,4,1,229.3,8.26,16.09,2017,10/19/17,10,2017,0.166666667
CUE,335.52,7.1,1,5,2,227.8,8.25,15.92,2017,10/20/17,10,2017,0
ISA,1042,7.3,0.5,3,2,270.3,8.1,16.03,2017,10/27/17,10,2017,1
HOR,199.94,6.3,0.75,9,0,246.6,8.07,15.94,2017,10/30/17,10,2017,1
JAC,199.53,6.1,NA,5,2,245.6,7.97,15.77,2017,11/2/17,11,2017,0.25
JAR,334.13,5.5,0,2,0,235,7.84,15.73,2017,11/4/17,11,2017,0
CRU,203.56,4,0.666666667,5,0,235,7.84,15.73,2017,11/4/17,11,2017,1
CUE,157.25,7.1,1,5,1,235,7.84,15.73,2017,11/4/17,11,2017,0
GIB,175.71,4.4,1,4,1,231.3,7.75,15.57,2017,11/6/17,11,2017,0.666666667
PIP,193.6,7,0.666666667,5,1,231.3,7.75,15.57,2017,11/6/17,11,2017,1
GAV,206.04,7.1,0.666666667,4,1,231.3,7.75,15.57,2017,11/6/17,11,2017,0.25
CAE,361.6,4.8,1,3,0,231.3,7.72,15.64,2017,11/7/17,11,2017,1
TDO,784.09,4.2,0.5,10,4,231.3,7.66,15.52,2017,11/9/17,11,2017,0.25
DIL,193.33,7.1,0,4,1,43.6,7.5,15.68,2017,11/22/17,11,2017,0.166666667
TOA,749.85,5.9,0.833333333,7,3,43.6,7.5,15.68,2017,11/22/17,11,2017,0.857142857
VLA,179.1,5.5,0.333333333,7,4,29.6,7.43,15.65,2017,11/23/17,11,2017,0.2
ISA,202.48,7.4,0.5,3,1,29.6,7.43,15.65,2017,11/23/17,11,2017,1
HOR,352.56,6.4,0.75,9,0,29.6,7.43,15.65,2017,11/23/17,11,2017,1
NEP,175.38,5.7,NA,5,2,29.6,7.43,15.65,2017,11/23/17,11,2017,0.5
DOP,333.13,6.1,1,7,1,27.6,7.39,15.6,2017,11/24/17,11,2017,1
MYC,589.31,5.1,0.285714286,8,0,27.6,7.35,15.53,2017,11/25/17,11,2017,0.142857143
VIM,371.81,5.9,0.166666667,6,4,27.6,7.35,15.53,2017,11/25/17,11,2017,0.285714286
TDO,377.74,4.3,0.5,10,4,27.2,7.26,15.46,2017,12/1/17,12,2017,0.25
ISA,672,7.4,0.5,3,1,27.2,7.26,15.46,2017,12/1/17,12,2017,1
JAR,240,5.6,0,2,0,27.2,7.26,15.44,2017,12/2/17,12,2017,0
HOR,180.64,6.4,0.75,9,0,27.2,7.26,15.44,2017,12/2/17,12,2017,1
DIL,326.84,7.1,0,4,1,27.2,7.26,15.44,2017,12/2/17,12,2017,0.166666667
CUE,560.63,7.2,1,5,1,21.8,7.24,15.43,2017,12/4/17,12,2017,0
DOP,441.66,6.2,1,7,1,0,7.24,15.48,2017,12/7/17,12,2017,1
VIM,448.8,5.9,0.166666667,6,4,0,7.24,15.48,2017,12/7/17,12,2017,0.285714286
VAI,356.7,4.4,0.666666667,6,3,0,7.24,15.48,2017,12/7/17,12,2017,1
TOA,594.75,6,0.833333333,7,3,0,7.24,15.48,2017,12/7/17,12,2017,0.857142857
VLA,440.06,5.5,0.333333333,7,4,0,7.24,15.48,2017,12/7/17,12,2017,0.2
CRI,530.91,4.2,0,5,0,0,7.25,15.5,2017,12/8/17,12,2017,0.75
MYC,286.36,5.1,0.285714286,8,0,0,7.25,15.5,2017,12/8/17,12,2017,0.285714286
CRU,320.67,4.1,0.666666667,5,0,0,7.25,15.5,2017,12/8/17,12,2017,1
CAE,475.84,4.9,1,3,0,0,7.25,15.5,2017,12/8/17,12,2017,1
NEP,364.1,5.7,NA,5,2,0,6.33,14.99,2017,12/22/17,12,2017,0.5
JAC,341.83,6.2,NA,5,2,0,6.33,14.99,2017,12/22/17,12,2017,0.25
GIZ,485.85,5.9,0.5,7,4,0,6.09,14.85,2018,1/1/18,1,2018,0.4
ISA,420.73,7.5,0.5,3,1,0,6.09,14.85,2018,1/1/18,1,2018,1
VIM,476.7,6,0.166666667,6,4,0,5.97,14.78,2018,1/3/18,1,2018,0.285714286
JAC,228.65,6.2,NA,5,2,0,5.98,14.76,2018,1/5/18,1,2018,0.25
CRI,422.91,4.3,0,5,0,0,5.98,14.71,2018,1/6/18,1,2018,0.75
JAR,386.96,5.7,0,2,0,0,5.88,14.56,2018,1/11/18,1,2018,NA
MYC,377.56,5.2,0.285714286,8,0,0,5.91,14.64,2018,1/13/18,1,2018,0.571428571
CAE,341.01,5,1,3,0,0,5.91,14.64,2018,1/13/18,1,2018,1
CUE,462.08,7.3,1,5,1,0,5.91,14.64,2018,1/13/18,1,2018,0
DOP,633.67,6.3,1,7,1,0,5.99,14.78,2018,1/15/18,1,2018,1
DIL,393.23,7.2,0,4,1,0,5.99,14.78,2018,1/15/18,1,2018,0.333333333
VAI,361.25,4.5,0.666666667,6,3,0,5.99,14.78,2018,1/15/18,1,2018,0.8
CRU,371.08,4.2,0.666666667,5,0,0,6.15,14.77,2018,1/22/18,1,2018,1
VLA,755.17,5.6,0.333333333,7,4,0,6.15,14.77,2018,1/22/18,1,2018,0.2
PIP,914.23,7.2,0.666666667,5,1,0,6.21,14.82,2018,1/23/18,1,2018,1
GAV,838.58,7.3,0.666666667,4,1,0,6.21,14.82,2018,1/23/18,1,2018,0.25
GIB,485.19,4.6,1,4,1,0,6.21,14.82,2018,1/23/18,1,2018,0.666666667
NEP,530.23,5.8,NA,5,2,0,6.34,15.03,2018,1/30/18,1,2018,0.5
ISA,444.24,7.6,0.5,3,0,0,6.49,15.21,2018,2/1/18,2,2018,1
DIL,320,7.3,0,4,1,0,6.6,15.65,2018,2/5/18,2,2018,0.285714286
GIZ,376.91,5.9,0.5,7,4,0,6.6,15.65,2018,2/5/18,2,2018,0.4
JAR,315.71,5.7,0,2,0,0,6.6,15.65,2018,2/5/18,2,2018,NA
CUE,820.9,7.4,1,5,1,0,6.6,15.65,2018,2/5/18,2,2018,0
CAE,358.04,5,1,3,0,0,6.6,15.65,2018,2/5/18,2,2018,1
VLA,332.18,5.7,0.333333333,7,4,0,6.6,15.65,2018,2/5/18,2,2018,0.2
DOP,436.29,6.3,1,7,0,0,6.65,15.71,2018,2/6/18,2,2018,1
VIM,297,6.1,0.166666667,6,4,0,6.65,15.71,2018,2/6/18,2,2018,0.285714286
TOA,153,6.1,0.833333333,7,3,0,6.65,15.71,2018,2/6/18,2,2018,0.857142857
VAI,474.5,4.6,0.666666667,6,3,0,6.65,15.71,2018,2/6/18,2,2018,0.8
CRU,423.56,4.3,0.666666667,5,0,0,6.65,15.71,2018,2/6/18,2,2018,1
CRI,369.41,4.4,0,5,0,0,6.72,15.79,2018,2/7/18,2,2018,0.75
GIB,136.8,4.7,1,4,0,0,7.36,16.59,2018,2/13/18,2,2018,0.666666667
GIA,452.95,4.5,0.75,4,1,0,7.36,16.59,2018,2/13/18,2,2018,NA
GAV,724.88,7.4,0.666666667,4,0,0,7.36,16.59,2018,2/13/18,2,2018,0.25
PIP,990.33,7.3,0.666666667,5,1,0,7.36,16.59,2018,2/13/18,2,2018,NA
ISA,955.26,7.6,0.5,3,1,2.2,8.07,18.13,2018,3/1/18,3,2018,1
DOP,585.1,6.4,1,7,1,2.2,8.07,18.13,2018,3/1/18,3,2018,1
CAE,241,5.2,1,3,0,22.6,8.34,20.09,2018,4/2/18,4,2018,1
ISA,364.38,7.7,0.5,3,1,22.6,8.34,20.09,2018,4/2/18,4,2018,1
DIL,407.7,7.4,0,4,1,22.6,8.34,20.09,2018,4/2/18,4,2018,0.285714286
VLA,340,5.8,0.333333333,7,4,23.4,8.36,20.09,2018,4/3/18,4,2018,0.4
GIZ,259.38,6.1,0.5,7,4,25.9,8.49,20.18,2018,4/5/18,4,2018,0.2
VAI,396.71,4.7,0.666666667,6,3,25.9,8.49,20.18,2018,4/5/18,4,2018,0.8
CRI,311.75,4.5,0,5,0,25.9,8.49,20.18,2018,4/5/18,4,2018,0.75
VIM,197.35,6.2,0.166666667,6,4,25.9,8.49,20.18,2018,4/5/18,4,2018,0.285714286
JAR,397.35,5.9,0,2,0,25.9,8.49,20.18,2018,4/5/18,4,2018,NA
CRU,368.49,4.4,0.666666667,5,0,25.9,8.49,20.18,2018,4/5/18,4,2018,1
TOA,495.19,6.3,0.833333333,7,3,25.9,8.49,20.18,2018,4/5/18,4,2018,0.857142857
DOP,224.49,6.5,1,7,1,25.9,8.49,20.18,2018,4/5/18,4,2018,1
JAC,705,6.5,NA,5,2,25.9,8.48,20.16,2018,4/6/18,4,2018,0.333333333
NEP,348.18,6,NA,5,2,25.9,8.48,20.16,2018,4/6/18,4,2018,0.5
GIZ,390.32,6.2,0.5,7,4,37.5,9.31,20.72,2018,5/3/18,5,2018,0.2
CRI,300.22,4.6,0,5,0,35,9.7,21.35,2018,5/7/18,5,2018,0.75
ISA,494.65,7.8,0.5,3,1,57,9.77,21.33,2018,5/8/18,5,2018,1
TOA,190,6.4,0.833333333,7,3,57,9.77,21.33,2018,5/8/18,5,2018,0.857142857
VLA,473.36,5.9,0.333333333,7,4,57,9.77,21.33,2018,5/8/18,5,2018,0.4
DOP,312.73,6.6,1,7,1,57,9.77,21.33,2018,5/8/18,5,2018,1
VAI,504.86,4.8,0.666666667,6,3,57,9.77,21.33,2018,5/8/18,5,2018,0.8
VIM,434.05,6.3,0.166666667,6,4,57,9.77,21.33,2018,5/8/18,5,2018,0.285714286
GAV,743.46,7.6,0.666666667,5,1,70.5,9.87,21.16,2018,5/10/18,5,2018,0.25
PIP,397.76,7.5,0.666666667,5,1,70.5,9.87,21.16,2018,5/10/18,5,2018,1
JAC,403.37,6.6,NA,5,2,70.5,9.87,21.16,2018,5/10/18,5,2018,0.333333333
NEP,548.63,6.1,NA,5,2,70.5,9.87,21.16,2018,5/10/18,5,2018,0.5
TDO,358.55,4.7,0.5,10,3,70.5,9.87,21.16,2018,5/10/18,5,2018,0
JAR,597.13,6,0,2,0,70.5,9.92,21.16,2018,5/11/18,5,2018,0
GIB,294.89,4.9,1,4,1,70.5,10.24,21.58,2018,5/15/18,5,2018,0.75
GIA,291.86,4.7,0.75,4,1,70.5,10.24,21.58,2018,5/15/18,5,2018,1
CUE,795.32,7.6,1,5,1,70.5,10.18,21.62,2018,5/16/18,5,2018,0
DIL,437.14,7.5,0,4,1,70.5,10.22,21.64,2018,5/17/18,5,2018,0.285714286
DIL,509.37,7.6,0,4,1,174.2,10.03,20.7,2018,6/1/18,6,2018,0.285714286
CRU,252.82,4.6,0.666666667,5,0,174.2,10.03,20.7,2018,6/1/18,6,2018,1
JAR,479.84,6.1,0,2,0,174.2,10.03,20.7,2018,6/1/18,6,2018,0
CUE,274.8,7.7,1,5,1,174.2,10.03,20.7,2018,6/1/18,6,2018,0
GAV,363.47,7.7,0.666666667,5,1,191.7,10.01,20.59,2018,6/2/18,6,2018,0.25
PIP,613.58,7.6,0.666666667,5,1,191.7,10.01,20.59,2018,6/2/18,6,2018,1
GIA,273.76,4.8,0.75,4,1,191.7,10.01,20.59,2018,6/2/18,6,2018,1
GIB,254.56,5,1,4,1,191.7,10.01,20.59,2018,6/2/18,6,2018,0.666666667
CRI,251.74,4.7,0,5,0,193.7,9.98,19.92,2018,6/4/18,6,2018,0.75
VLA,538.25,6,0.333333333,7,4,193.7,9.98,19.92,2018,6/4/18,6,2018,0.4
ISA,634.82,7.9,0.5,3,1,193.7,9.98,19.92,2018,6/4/18,6,2018,1
DOP,490.91,6.7,1,7,1,196.8,9.75,19.2,2018,6/7/18,6,2018,1
VIM,379.45,6.4,0.166666667,6,4,196.8,9.75,19.2,2018,6/7/18,6,2018,0.285714286
VAI,174.69,4.9,0.666666667,6,3,196.8,9.75,19.2,2018,6/7/18,6,2018,0.8
TDO,525.55,4.8,0.5,10,3,212.8,9.49,18.46,2018,6/12/18,6,2018,0
NEP,186.68,6.3,NA,5,2,324.3,8.67,15.65,2018,6/30/18,6,2018,NA
JAC,274.65,6.7,NA,5,2,324.3,8.67,15.65,2018,6/30/18,6,2018,NA
ISA,299.59,8,0.5,3,1,279.3,8.64,15.36,2018,7/2/18,7,2018,1
CUE,318.46,7.8,1,5,1,279.3,8.64,15.36,2018,7/2/18,7,2018,0
CAE,264,5.4,1,3,0,279.3,8.64,15.36,2018,7/2/18,7,2018,1
GAV,396.49,7.8,0.666666667,5,1,279.3,8.64,15.36,2018,7/2/18,7,2018,0.25
DOP,494.94,6.7,1,7,1,280.8,8.56,15.33,2018,7/3/18,7,2018,1
GIZ,337.67,6.4,0.5,7,4,280.8,8.56,15.33,2018,7/3/18,7,2018,0.2
DIL,330,7.7,0,4,1,280.8,8.56,15.33,2018,7/3/18,7,2018,0.285714286
JAR,356.44,6.1,0,2,0,286.3,8.48,15.3,2018,7/4/18,7,2018,0
JAC,352,6.7,NA,5,2,391.2,8.32,14.89,2018,7/9/18,7,2018,NA
NEP,208.24,6.3,NA,5,2,391.2,8.32,14.89,2018,7/9/18,7,2018,NA
CRI,196.48,4.8,0,5,0,416.7,8.28,14.65,2018,7/10/18,7,2018,0.75
VIM,420.75,6.5,0.166666667,6,4,416.7,8.28,14.65,2018,7/10/18,7,2018,0.285714286
CRU,397.07,4.7,0.666666667,5,0,416.7,8.28,14.65,2018,7/10/18,7,2018,1
TDO,711.51,4.9,0.5,10,3,421.2,8.23,14.56,2018,7/11/18,7,2018,0
TOA,584,6.6,0.833333333,7,3,421.2,8.23,14.56,2018,7/11/18,7,2018,0.857142857
VLA,409.83,6.1,0.333333333,7,4,421.2,8.23,14.56,2018,7/11/18,7,2018,0.4
VAI,472.19,5,0.666666667,6,3,421.2,8.23,14.56,2018,7/11/18,7,2018,0.8
PIP,886.54,7.7,0.666666667,5,1,474.4,7.91,13.53,2018,7/19/18,7,2018,1
GIA,60,4.9,0.75,4,1,482.7,7.85,13.32,2018,7/21/18,7,2018,1
GIB,341.69,5.1,1,4,1,482.7,7.85,13.32,2018,7/21/18,7,2018,0.666666667
DIL,382.55,7.8,0,4,1,460.9,8.1,13.85,2018,8/1/18,8,2018,0.25
DOP,392.84,6.8,1,7,1,460.9,8.1,13.85,2018,8/1/18,8,2018,1
JAC,338.22,6.8,NA,5,2,460.9,8.1,13.85,2018,8/1/18,8,2018,NA
MYC,288.79,5.8,0.285714286,8,0,460.9,8.1,13.85,2018,8/1/18,8,2018,0.571428571
TOA,264,6.6,0.833333333,7,2,460.9,8.1,13.85,2018,8/1/18,8,2018,0.857142857
CRI,588.76,4.8,0,5,0,475.4,8.09,13.76,2018,8/2/18,8,2018,0.75
NEP,475.89,6.3,NA,5,2,475.4,8.09,13.76,2018,8/2/18,8,2018,NA
CAE,390.09,5.5,1,3,0,475.4,8.09,13.76,2018,8/2/18,8,2018,1
VLA,728.13,6.1,0.333333333,7,3,475.4,8.09,13.76,2018,8/2/18,8,2018,0.4
VIM,382.5,6.5,0.166666667,6,3,475.4,8.09,13.76,2018,8/2/18,8,2018,0.285714286
CRU,385.97,4.8,0.666666667,5,0,475.4,8.09,13.76,2018,8/2/18,8,2018,1
VAI,547.5,5,0.666666667,6,2,475.4,8.09,13.76,2018,8/2/18,8,2018,0.8
JAR,520.16,6.2,0,2,0,471.9,8.07,13.8,2018,8/3/18,8,2018,0
GIZ,752.7,6.4,0.5,7,4,471.9,8.07,13.8,2018,8/3/18,8,2018,0.2
GAV,604.86,7.9,0.666666667,5,1,416.4,8.15,14.45,2018,8/16/18,8,2018,0.25
PIP,474.33,7.8,0.666666667,5,1,416.4,8.15,14.45,2018,8/16/18,8,2018,1
VIM,815.29,6.7,0.166666667,6,3,340,8.05,14.89,2018,9/14/18,9,2018,0.285714286
CRI,205.38,5,0,5,0,340,8.05,14.89,2018,9/14/18,9,2018,0.75
PIP,457.4,7.9,0.666666667,5,1,322.5,8.12,15.12,2018,9/17/18,9,2018,1
NEP,353.3,6.5,NA,5,2,322.5,8.12,15.12,2018,9/17/18,9,2018,NA
JAC,198.29,6.9,NA,5,2,322.5,8.12,15.12,2018,9/17/18,9,2018,NA
GIA,157.85,5,0.75,4,1,322.5,8.12,15.12,2018,9/17/18,9,2018,1
GAV,428.14,8,0.666666667,5,1,175.1,8.18,16.23,2018,9/29/18,9,2018,0.25
VLA,453.45,6.3,0.333333333,7,3,139.2,8.21,16.75,2018,10/5/18,10,2018,0.4
CRI,135,5,0,5,0,139.2,8.21,16.75,2018,10/5/18,10,2018,0.75
CUE,402,8,1,5,1,139.2,8.21,16.75,2018,10/5/18,10,2018,0
CRU,155.77,4.9,0.666666667,5,0,139.2,8.21,16.75,2018,10/5/18,10,2018,1
CAE,148.06,5.7,1,3,0,139.2,8.21,16.75,2018,10/5/18,10,2018,1
VIM,199.63,6.7,0.166666667,6,3,185,8.18,16.8,2018,10/8/18,10,2018,0.285714286
TOA,250.26,6.8,0.833333333,7,2,185,8.18,16.8,2018,10/8/18,10,2018,0.857142857
DIL,174.95,7.9,0,4,1,181.5,8.19,16.67,2018,10/9/18,10,2018,0.666666667
DOP,343.04,7,1,7,1,181.5,8.19,16.67,2018,10/9/18,10,2018,1
VAI,191.62,5.2,0.666666667,6,2,181.2,8.2,16.75,2018,10/10/18,10,2018,0.8
MUF,195.26,4.6,0.666666667,5,2,155.5,8.38,16.11,2018,10/26/18,10,2018,0.666666667
TOA,510.22,6.9,0.833333333,7,2,107.5,8.24,15.13,2018,11/7/18,11,2018,0.857142857
VAI,306.59,5.3,0.666666667,6,2,107.5,8.24,15.13,2018,11/7/18,11,2018,0.8
CAE,201.97,5.8,1,3,0,107.5,8.24,15.13,2018,11/7/18,11,2018,1
CUE,473.89,8.1,1,5,1,107.5,8.24,15.13,2018,11/7/18,11,2018,0
VIM,195.43,6.8,0.166666667,6,3,107.5,8.24,15.13,2018,11/7/18,11,2018,0.285714286
VLA,314.22,6.4,0.333333333,7,3,107.5,8.24,15.13,2018,11/7/18,11,2018,0.4
ISA,636.52,8.3,0.5,3,1,98.5,8.24,15.15,2018,11/8/18,11,2018,1
CRU,223,5,0.666666667,5,0,98.5,8.24,15.15,2018,11/8/18,11,2018,1
CRI,257.85,5.1,0,5,0,98.5,8.24,15.15,2018,11/8/18,11,2018,0.75
JAR,156.79,6.5,0,2,0,92,8.02,14.68,2018,11/13/18,11,2018,0
VAD,1147.22,0.2,0.4,6,2,65.5,7.69,14.24,2018,11/29/18,11,2018,0.4
COA,568.78,0.1,0.666666667,4,1,57,7.94,13.81,2018,12/4/18,12,2018,0.666666667
ISA,354.59,8.4,0.5,3,1,52,7.92,13.7,2018,12/7/18,12,2018,1
ISA,442.71,8.4,0.5,3,1,41,7.87,13.23,2018,12/10/18,12,2018,1
CUE,469.29,8.2,1,5,1,41,7.87,13.23,2018,12/10/18,12,2018,0
TOA,274.48,7,0.833333333,7,2,39.4,7.89,13.21,2018,12/11/18,12,2018,0.857142857
VIM,288.26,6.9,0.166666667,6,3,39.4,7.89,13.21,2018,12/11/18,12,2018,0.285714286
VLA,277.9,6.5,0.333333333,7,3,39.4,7.89,13.21,2018,12/11/18,12,2018,0.4
CRU,315.86,5.1,0.666666667,5,0,39.4,7.89,13.21,2018,12/11/18,12,2018,1
VAI,460,5.4,0.666666667,6,2,39.4,7.89,13.21,2018,12/11/18,12,2018,0.8
CAE,566.18,5.9,1,3,0,39.4,7.89,13.21,2018,12/11/18,12,2018,1
DOP,256.29,7.2,1,7,1,39.4,7.89,13.21,2018,12/11/18,12,2018,1
JAR,807.3,6.6,0,2,0,39.4,7.89,13.21,2018,12/11/18,12,2018,0
DIL,854.91,8.1,0,4,1,39.7,7.92,13.23,2018,12/13/18,12,2018,0.666666667
COA,263.34,0.2,0.666666667,4,1,20.4,7.89,12.91,2018,12/19/18,12,2018,0.666666667
AGA,711.25,7,1,5,0,20.4,7.89,12.91,2018,12/19/18,12,2018,0.6
DRO,716.14,5.6,0.333333333,7,0,7.9,7.6,12.62,2018,12/28/18,12,2018,0.666666667
MUF,737.18,4.8,0.666666667,5,2,2.9,7.59,12.57,2018,12/29/18,12,2018,0.666666667
CUE,596.47,8.3,1,5,1,2.4,7.04,12.6,2019,1/5/19,1,2019,0
JAR,536.82,6.7,0,2,0,2.4,6.92,12.62,2019,1/8/19,1,2019,0
ISA,470.52,8.5,0.5,3,1,0.9,6.82,12.79,2019,1/9/19,1,2019,1
VAI,445.75,5.5,0.666666667,6,2,0.5,6.7,12.76,2019,1/10/19,1,2019,0.8
CAE,303,5.9,1,3,0,0.5,6.7,12.76,2019,1/10/19,1,2019,1
VAD,802.21,0.3,0.4,6,2,0.2,6.41,12.51,2019,1/14/19,1,2019,0.4
DIL,669.38,8.2,0,4,1,0,6.33,12.48,2019,1/16/19,1,2019,0.666666667
