ages,dispersed,num_remaining,censored_beginning,num_dispersing
0,0,169,169,0
1,0,136,136,0
2,0,107,107,0
3,0,94,94,0
4,0,88,93,5
5,0,70,80,10
6,0,57,68,11
7,0,37,53,16
8,0,5,21,16
9,1,2,5,3
