male.ID,before,nsamples_before,after,nsamples_after
CUE,518.3008813,3,534.3769215,2
ISA,419.8371971,4,607.6756549,2
JAR,383.4939759,1,713.0769231,1
JOK,951.032967,1,416.6448735,3
OMA,202.7324914,2,515.6,1
TEC,1064.720382,6,397.9807638,2
VEX,421.358553,3,741.0349206,2
